"시점","항목",총액,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,식품 및 산동물,음료 및 담배,음료 및 담배,음료 및 담배,비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),비식용 원재료(연료제외),광물성 연료 윤활유 및 관련물질,광물성 연료 윤활유 및 관련물질,광물성 연료 윤활유 및 관련물질,광물성 연료 윤활유 및 관련물질,광물성 연료 윤활유 및 관련물질,동식물성 유지 및 왁스,동식물성 유지 및 왁스,동식물성 유지 및 왁스,동식물성 유지 및 왁스,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,화학물 및 관련제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,재료별 제조제품,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기계 및 운수장비,기타 제조제품,기타 제조제품,기타 제조제품,기타 제조제품,기타 제조제품,기타 제조제품,기타 제조제품,기타 제조제품,기타 제조제품,달리분류되지 않은 상품 및 취급물,달리분류되지 않은 상품 및 취급물,달리분류되지 않은 상품 및 취급물,달리분류되지 않은 상품 및 취급물,달리분류되지 않은 상품 및 취급물
"시점","항목",소계,소계,중분류 03의 동물을 제외한 산 동물,고기 및 고기조제품,낙농품 및 새알,물고기갑각류 연체동물 및 수생무척추동물,곡식 및 곡식가공품,채소 및 과실,설탕설탕조제품 및 벌꿀,커피차코코아향신료 및 동제품,동물사료,기타 식용제품 및 조제품,소계,음료,담배 및 담배제품,소계,원피 및 모피,기름용씨 및 기름함유 열매,생고무(합성 및 재생고무 포함),콜크 및 나무,펄프 및 폐지,섬유 및 그 웨이스트,미가공 비료 및 미가공 광물,금속성 광석 및 금속 부스러기,달리 명시되지 않은 미가공 동식물성 물질,소계,석탄코크 및 연탄,석유석유제품 및 관련물질,천연가스 및 제조가스,전력,소계,동물성 유지,불휘발성 식물성기름조유정제 또는 분획된 것,달리 분류되지 않은 동식물성유지 처리한 것,소계,유기화학물,무기화학물,염료유연제 및 착색제,의약품 및 약제제품,정유 및 향료,비료,플라스틱(원료형태의 것),원료형태가 아닌 플라스틱,달리 명시되지 않은 화학물질 및 제품,소계,가죽제품 및 손질모피,달리 명시되지 않은 고무제품,코크 및 나무제품,종이판지 및 펄프,섬유사직물직물제품,달리 명시되지 않은  비금속광물,철 및 강,비철금속,달리 명시되지 않은 금속제품,소계,원동기기 및 설비,특수산업용 기계,금속공작용 기계,산업용 일반기계 및 장비,사무용 기계 및 자동자료 처리장치,통신 및 녹음기기, 전기기계장치와 기기,도로 주행 차량,기타 수송장비,소계,조립식건축물 달리 명시되지 않은 위생연관 및 부착물,가구 및 부분품;침대에트리스쿠션,여행용 핸드백 및 유사용기,의복제품 및 의복부속품,신발,달리 명시되지 않은 전문과학통제기구 및 장치,달리 명시되지 않은 사진장치 및 광학용품 휴대시계 및 큰시계,달리 분류되지 않은 잡제품,소계,종류에 따라 분류 할 수 없는 특수취급물,주화(금화 및 법화 제외),금(금광 및 그정광 제외),달리 분류되지 않은 상품 및 취급물
"2018. 10","수입액 (천달러)",48480618,2530414,6579,493928,78199,554652,431215,309277,85937,118716,267419,184492,131966,77103,54863,2737725,27543,96194,99452,206957,181053,74796,90172,1873248,88312,13679798,1323260,9803183,2553354,2,96996,5009,85609,6379,5007997,1304533,846812,242900,656745,257589,28526,525449,330112,815331,4671832,42327,143294,144716,202865,517614,508517,1372773,1019819,719907,14401659,708010,1514423,155611,1327024,1135496,2204375,5673024,1436512,247182,5132078,73579,242140,236727,1383363,269978,1447744,508450,970097,90153,0,87,87026,3040
"2018. 11","수출액 (천달러)",51479530,552804,140,8161,7391,172315,40291,81714,28606,26526,18040,169621,155061,65681,89380,557256,478,617,241257,2339,21837,154087,28711,71495,36436,4043397,5458,3985174,52765,-,4553,398,2695,1460,6682325,2063492,458055,217334,380299,610799,27722,1840293,620371,463960,6062107,50693,390168,5636,272888,871059,291374,2195420,990099,994771,29833846,806346,2046017,338676,1850599,1895580,2818010,12292313,5619070,2167236,3518133,80380,115720,25763,193488,46031,1543496,499646,1013608,70049,-,20,64768,5262
"2018. 11","수입액 (천달러)",46808199,2307429,7625,432891,70483,544118,334839,301210,88094,118363,235023,174784,111971,77326,34644,2784158,20943,69704,99991,197400,183168,65995,90089,1975588,81280,13753865,1475478,9643078,2635309,-,84749,4508,74821,5421,4853614,1284928,875622,228773,609876,223342,34765,489819,317743,788747,4465411,36080,133519,133120,190811,477993,472161,1313929,995107,712693,14195035,543147,1384707,156896,1236290,1547035,2042997,5383246,1432251,468466,4178496,75054,235448,205460,923533,216393,1265195,441717,815697,73469,20,56,71013,2380
"2018. 12","수출액 (천달러)",48206793,489066,536,6583,5893,144046,36592,76558,26286,25597,18639,148337,119173,62303,56870,578639,106,461,246307,2154,19163,149735,26965,99738,34009,3623399,8,3576787,46605,-,4590,710,2788,1092,6315669,1958725,454157,189393,366469,507300,32991,1789156,558105,459376,5638102,46157,385074,4831,255861,779822,265750,2078370,912582,909654,28078076,640833,2032709,371827,1806748,1904196,2547583,10145490,5297501,3331190,3220588,79186,102336,18590,177466,44886,1453743,482369,862013,139490,-,399,130749,8342
"2018. 12","수입액 (천달러)",44024694,2177916,8744,337904,66151,544116,349772,281766,76919,101487,241581,169477,138605,82073,56533,2534860,19700,99022,86112,175987,165596,67076,105351,1747344,68673,12428646,1327621,8068568,3032457,-,70253,3259,60704,6290,4470518,1038900,828732,250177,597491,215084,60837,417698,308692,752907,4133135,33724,121304,117437,185204,441956,430820,1261740,871928,669021,13921110,530641,1628053,138129,1218824,1445308,1719380,5424063,1397046,419667,4075542,73709,220158,220234,783596,264956,1209818,409089,893981,74108,4,161,70714,3229
"2019. 01","수출액 (천달러)",46168934,508844,155,7233,8060,162484,36731,77411,26608,21652,15051,153460,130471,64411,66060,575691,326,108,248674,2150,8089,156906,26133,92853,40452,3709545,72,3661435,48039,-,5292,627,3078,1587,6534670,2013789,474184,211073,228966,520869,45800,1932851,641558,465579,6094221,44454,438586,6972,259336,807826,286419,2382403,893149,975076,25525060,807011,1983771,300393,1880352,1128135,2609954,9518256,5416829,1880359,2974032,64249,111278,24387,157338,38966,1227607,507430,842777,111108,-,670,97562,12876
"2019. 01","수입액 (천달러)",45153389,2799110,2571,678724,88422,577193,444984,328488,115305,127795,241280,194348,131850,85071,46780,2758626,23498,66980,90682,194380,187396,71858,99217,1933038,91575,11292336,1458808,7221950,2611578,-,93765,7436,77978,8352,4935212,1219198,892696,232571,596194,227274,72467,522485,316554,855773,4788984,29749,130094,125576,215167,497213,491669,1464930,1068076,766509,13966747,681178,1490110,139467,1340981,1517422,2023664,5318033,1183358,272534,4299348,84743,257673,259260,1010396,342109,1105586,382640,856940,87411,-,57,82489,4865
"2019. 02","수출액 (천달러)",39481803,408334,231,7082,7382,118315,31034,59427,19341,20996,16230,128295,126114,58306,67808,459467,443,59,204926,1794,7793,130046,22599,57211,34596,3104908,7,3070149,34752,-,4405,1187,2490,728,5800310,1756892,402027,180336,300754,519419,30760,1683549,529343,397231,5385446,40515,342510,4638,230821,672510,223545,2207267,862224,801416,21582130,641347,1709439,246875,1624422,996503,2189434,8452917,4276302,1444891,2465884,50471,80971,20599,118017,34268,982532,427101,751925,144806,-,487,140348,3971
"2019. 02","수입액 (천달러)",36651437,1842707,3412,373373,82167,360868,267109,255516,61149,87219,184102,167792,84038,62796,21242,2223915,15038,43096,73220,132791,165873,56540,76675,1600957,59724,11292476,1288093,7478408,2525975,-,71752,3501,63805,4447,3773799,957998,549386,179895,519879,193813,51090,367740,263625,690373,3471602,22718,108387,104008,149628,326813,311469,1155712,767768,525100,10617580,482476,1101287,106154,1056064,1079773,1342780,4308648,975044,165354,3227655,47381,178005,170548,674182,220854,933086,333909,669690,45911,0,44,42862,3006
"2019. 03","수출액 (천달러)",47003206,478618,155,7547,8532,144208,36985,61750,23177,21743,18002,156518,161302,69962,91340,515816,150,154,222532,2231,10106,143812,21879,67758,47196,3121352,56,3092004,29293,-,5129,475,2811,1843,6386674,1761653,445255,215156,405158,649910,26099,1817207,609852,456383,5834130,45332,397419,5114,264354,766838,247101,2223591,906344,978036,27404745,735095,2072560,305200,2074672,1465841,2433842,10762545,5322761,2232229,2945496,56863,96659,21731,159116,42893,1239393,481435,847406,149944,-,3362,142516,4066
