"품목별(1)",품목별(2),품목별(3),2020. 01,2020. 01,2020. 02,2020. 02,2020. 03,2020. 03,2020. 04,2020. 04,2020. 05,2020. 05,2020. 06,2020. 06,2020. 07,2020. 07,2020. 08,2020. 08,2020. 09,2020. 09,2020. 10,2020. 10,2020. 11,2020. 11,2020. 12,2020. 12,2021. 01,2021. 01,2021. 02,2021. 02,2021. 03,2021. 03,2021. 04,2021. 04
"품목별(1)",품목별(2),품목별(3),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러)
"비식용원재료(연료제외)",콜크 및 나무,소계,1297,135111,993,102927,1245,130933,1576,133412,1218,136104,657,145212,983,143997,777,131052,933,137497,737,147151,1049,130111,859,156449,1042,145185,654,125974,861,155459,774,182833
"비식용원재료(연료제외)",콜크 및 나무,천연콜크및 천연콜크찌꺼기,39,118,33,15,17,31,38,60,-,34,32,68,0,83,2,0,38,13,27,27,29,51,68,21,67,14,63,118,26,0,22,170
"비식용원재료(연료제외)",콜크 및 나무,연료용 나무(나무찌꺼기 제외) 및 숯,13,8952,24,6404,94,8056,4,7155,31,7975,1,8447,35,8752,40,8643,43,7321,21,7380,80,7281,10,7987,59,6858,31,6068,95,7638,56,8073
"비식용원재료(연료제외)",콜크 및 나무,나무(칩상 또는 삭편상)및 나무찌꺼기,9,35404,-,28981,1,35922,5,32464,-,35758,-,32182,0,26672,1,32104,4,41478,1,45319,-,38415,6,45184,1,38311,0,39122,-,44428,8,49660
"비식용원재료(연료제외)",콜크 및 나무,원목,10,32000,26,25420,19,28707,54,32065,33,28983,23,36824,127,32298,26,25596,2,26922,27,31364,1,30826,70,37900,157,40614,0,22922,89,40261,34,50638
"비식용원재료(연료제외)",콜크 및 나무,간단히 가공한 나무 및 철도용 침목,1227,58637,910,42108,1115,58216,1476,61669,1154,63355,601,67691,820,76193,707,64709,847,61763,661,63060,939,53537,706,65356,759,59387,559,57744,652,63132,654,74292
"비식용원재료(연료제외)",펄프 및 폐지,소계,7537,122883,7835,97965,9223,121075,14466,130604,15976,116263,18270,111415,11329,92331,8874,98210,8196,100901,10049,116638,7448,95593,9144,101908,8858,111036,10099,97892,15479,127251,20954,146378
"비식용원재료(연료제외)",펄프 및 폐지,펄프 및 폐지,7537,122883,7835,97965,9223,121075,14466,130604,15976,116263,18270,111415,11329,92331,8874,98210,8196,100901,10049,116638,7448,95593,9144,101908,8858,111036,10099,97892,15479,127251,20954,146378
"비식용원재료(연료제외)",섬유 및 그 웨이스트,소계,124513,51020,132665,45644,138514,61450,94101,56520,73717,39281,99923,41238,115764,42238,111515,26658,134828,28557,128680,31732,127610,37672,137296,48211,117405,42386,123906,44085,153886,49688,142726,55519
"비식용원재료(연료제외)",섬유 및 그 웨이스트,견,1,1368,5,656,-,751,1,1187,0,403,1,298,0,632,0,116,6,347,-,483,-,361,6,488,-,166,-,210,-,780,-,565
"비식용원재료(연료제외)",섬유 및 그 웨이스트,면,1798,20028,2902,15844,1153,23113,1218,23279,1050,14246,1309,16762,1365,17511,792,7897,1289,6956,1154,9980,1312,14724,1725,20187,1540,18749,1573,19289,1610,17562,1768,24798
"비식용원재료(연료제외)",섬유 및 그 웨이스트,달리명시되지 않은 황마와 기타의 방직용 인피섬유,78,462,45,252,57,175,46,131,9,230,13,268,44,431,54,200,9,83,22,122,47,316,-,279,-,44,9,398,41,151,-,527
"비식용원재료(연료제외)",섬유 및 그 웨이스트,식물성 섬유 : 동섬유의 부스러기,0,144,1,70,1,139,0,126,1,108,5,45,2,185,1,74,2,107,-,20,14,42,-,50,-,194,-,58,0,153,0,170
"비식용원재료(연료제외)",섬유 및 그 웨이스트,방적에 적합한 합성섬유,93078,3453,99806,2680,102055,5283,74395,4364,54849,3584,70949,3537,81518,4002,81873,2669,97641,3263,93493,3509,92282,3615,101150,4710,86101,3660,93881,3076,115750,4299,103433,3859
"비식용원재료(연료제외)",섬유 및 그 웨이스트,방적에 적합한 기타 인공섬유,4837,10673,4619,14064,8938,12508,5545,12990,6327,10283,6741,8244,6378,8582,5333,5982,5811,7163,5773,7817,4272,8266,4819,9759,4756,8882,4214,9287,4260,11056,4800,9938
"비식용원재료(연료제외)",섬유 및 그 웨이스트,양모 및 기타 수모(양모톱 제외),-,12042,-,9125,-,16657,0,11641,-,8041,-,8812,1,7847,-,6700,87,7758,-,7064,0,7857,-,10201,107,7867,0,9173,-,13012,-,13188
"비식용원재료(연료제외)",섬유 및 그 웨이스트,낡은 의류 및 기타 낡은 섬유제품 : 넝마,24721,2851,25289,2953,26309,2825,12897,2803,11482,2386,20904,3271,26455,3047,23462,3019,29983,2881,28238,2737,29682,2493,29596,2537,24901,2824,24228,2594,32226,2675,32724,2474
"비식용원재료(연료제외)",미가공 비료 및 미가공 광물,소계,13850,89451,14100,61306,14893,90627,13195,87913,10402,75338,12523,73005,11553,73049,13782,71186,13991,76309,16906,78792,15881,69765,18894,94712,20230,87406,20100,88995,26542,87715,24041,96692
"비식용원재료(연료제외)",미가공 비료 및 미가공 광물,미가공비료(56항의 것 제외),593,7415,448,3184,860,5960,526,5679,514,8022,1550,5676,950,5214,1243,5585,781,3088,456,6386,599,2860,804,5392,519,7616,520,5976,879,4023,737,8234
"비식용원재료(연료제외)",미가공 비료 및 미가공 광물,돌모래 및 자갈,1268,10745,1934,8930,1231,18084,1372,12026,586,11776,910,13658,1347,11682,913,11249,1574,14896,1229,10618,1001,13265,1565,15108,1641,10561,1218,8695,1197,10116,1828,17305
"비식용원재료(연료제외)",미가공 비료 및 미가공 광물,유황 및 하소하지 않은 황하철광,3754,536,2954,919,2927,245,2544,161,2694,90,2886,94,2629,52,3190,77,3450,67,3522,93,4903,81,5603,246,6205,174,9424,222,11506,603,11078,200
"비식용원재료(연료제외)",미가공 비료 및 미가공 광물,달리 명시되지 않은 천연연마재(공업용 다이아몬드 포함),1151,3485,1069,3496,1205,4400,789,3127,915,2166,844,2307,1290,3049,1049,3007,1728,3276,1359,3335,1401,4007,1390,4870,1560,3912,1512,3394,1437,4093,1675,4507
"비식용원재료(연료제외)",미가공 비료 및 미가공 광물,기타 미가공 광물,7084,67271,7695,44777,8671,61938,7965,66920,5693,53284,6333,51271,5337,53052,7387,51267,6457,54982,10340,58360,7977,49551,9531,69095,10305,65142,7426,70707,11524,68881,8722,66446
"비식용원재료(연료제외)",금속성 광석 및 금속 부스러기,소계,71364,1791264,63396,1479583,125659,1705448,192639,1949708,80297,1494454,80782,1476759,170908,1867051,98086,1448968,90637,2023578,105092,1895818,196657,2324648,133201,2245249,107908,2267109,149151,2240910,137886,2490576,281630,2930955
"비식용원재료(연료제외)",금속성 광석 및 금속 부스러기,철광석 및 정광,0,591198,185,464705,-,464768,254,610795,484,430132,1283,428029,974,552789,1049,617047,1807,558253,1213,654867,796,873570,1255,684949,779,755326,605,890713,1762,927846,1264,980663
"비식용원재료(연료제외)",금속성 광석 및 금속 부스러기,철의 웨이스트와 스크랩 및 철강의 재용해용 잉곳,11508,135636,12902,126610,15066,158520,9443,132494,9537,101584,9385,101966,16311,97712,12004,94502,18668,110390,16108,130333,11989,124543,22235,151697,14394,108079,15879,184958,28792,173269,45907,198881
"비식용원재료(연료제외)",금속성 광석 및 금속 부스러기,동광석 및 정광 : 동매트 시멘트동,15392,324066,12519,217332,59144,377686,40366,452619,35388,293422,12858,336937,31149,527547,27941,247492,2235,373803,36205,349432,89488,442377,48651,474098,43019,438139,80297,419195,29404,182127,135062,577330
"비식용원재료(연료제외)",금속성 광석 및 금속 부스러기,니켈광석 및 정광 : 니켈매트니켈신터,-,11253,78,18682,180,25884,323,30627,68,18184,217,20160,203,23541,4,23010,111,36270,220,18392,9,26302,-,41977,50,25541,21,6042,331,37352,89,23991
"비식용원재료(연료제외)",금속성 광석 및 금속 부스러기,알루미늄광과 그 정광,2715,10895,2103,11282,2032,15749,2176,13764,1625,11030,1983,15348,1603,10083,1872,11007,2998,12979,2896,13360,2730,11429,2719,12160,2745,9880,2524,12198,3154,14056,3202,14473
"비식용원재료(연료제외)",금속성 광석 및 금속 부스러기,우라늄 및 토륨광석 및 정광,6,-,-,-,-,0,-,-,6,-,1,-,8,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,8,12,9,12
"비식용원재료(연료제외)",금속성 광석 및 금속 부스러기,달리 명시되지 않은 금속의 광석 및 정광(귀금속 제외),2284,330127,1498,288082,16411,295512,7497,342655,6628,339977,12336,297805,3959,289208,4067,146537,4210,550699,3379,302697,4582,417076,5947,439535,5618,474180,3953,225057,14397,553668,6614,552177
"비식용원재료(연료제외)",금속성 광석 및 금속 부스러기,달리 명시되지 않는 비철금속의 웨이스트,10351,266921,10389,263893,11818,255077,9643,233435,10588,188637,12523,198042,15624,216056,14788,235476,16763,249974,15259,264885,19888,265875,19287,266867,13739,253416,13408,291171,21970,377298,33575,385622
"비식용원재료(연료제외)",금속성 광석 및 금속 부스러기,귀금속의 광석 및 정광 : 귀금속의 웨이스트,29107,121168,23721,88999,21007,112252,122937,133318,15974,111488,30197,78473,101075,150114,36361,73896,43845,131210,29808,161852,67176,163476,33107,173965,27566,202548,32464,211576,38069,224949,55909,197806
