store,Latitude,Longitude
크레이저 커피 부평문화로점,37.5075321,126.7277369
헤세드,37.4939604,126.7224166
스티브오,37.454206,126.7019544
까페 토스피아,37.4431234,126.7344089
어테인,37.4465341,126.6940265
포레스트,37.4003269,126.7307822
에뜨리아,37.4073584,126.7135293
커피늘보,37.4901706,126.7439358
메가커피 서창1지구점,37.4246121,126.7480378
스티브오,37.454206,126.7019544
인천서점,37.4426006,126.7024721
디플리 터치드,37.4583535,126.7035161
델리빈,37.4506697,126.7000071
세레노(sereno),37.4440907,126.7627633
이디야 인천구월문화점,37.4467437,126.6989807
메가커피인천모래내시장점,37.4546646,126.7209237
쌀부엌,37.4519188,126.7252985
꿀스커피논곡점,37.411188,126.7096723
카페푸를나이,37.4506938,126.7062313
수소수카페,37.4527381,126.7068792
셀렉토커피 인천시청점,37.454644,126.7028053
이디야커피 간석자유시장점,37.4634676,126.7146778
cafe 36.5도씨,37.4269514,126.6631571
위시카페,37.4171089,126.7252777
이제이커피구월점,37.4450519,126.6966289
메가엠지씨커피 인천만월초점,37.5363132,126.7278025
빽다방소래포구한화점,37.3996109,126.7248692
(주)위더스함께걸음,37.4259822,126.6991764
투썸플레이스,37.533386,126.640211
이디야커피 인천서창점,37.425543,126.748636
이디야청라호수공원,37.528549,126.6467399
오늘을부탁해,37.5056996,126.7233322
할리스 인천서구청점,37.6016918,126.6560316
커피에반하다,37.5475159,126.6751381
이디야인천서구청점,37.5458831,126.6765024
메가커피 간석오거리점,37.4626862,126.7201507
카페윤군 남동공단점,37.3979471,126.6899701
컴포즈커피,37.4535691,126.7175025
메가커피 청라심곡천점,37.521257,126.624945
메가커피 가좌봉화초점,37.4959826,126.669224
메가커피 백운현대점,37.4878943,126.7090601
컴포즈커피 부평미래타운,37.5211276,126.7424219
카페윤희,37.451528,126.6934225
메가커피,37.4087161,126.7109405
메가커피 청라커낼점,37.4087161,126.7109405
탭플레이커피 모다부평점,37.4934539,126.7195964
디저트39인천청라점,37.5343435,126.6375073
메가커피 구월아시아드점,37.441448,126.709943
일루,37.5312845,126.6385254
컴포즈커피 남동루체스타점,37.4511452,126.7319657
메리골드,37.5477062,126.6699348
구움다방,37.5304923,126.644058
1F COFFEE,37.5333113,126.6480748
Holly's Coffee 청라센터시아점,37.5338374,126.6513442
아이키친 청라점,37.5492491,126.6641315
헤븐카페,37.5137019,126.6422596
데일리(Daily),37.5220329,126.7189376
디마프,37.5323548,126.6412846
카페코뺑,37.5387847,126.6562281
쿠파커피,37.5312845,126.6385254
탐앤탐스 랜드마크점,37.5474832,126.6665337
타코피아,37.5500451,126.6657628
카페새라,37.4664622,126.6963316
프리슈가,37.454775,126.6791936
카페한빛,37.4532288,126.634213
더벤티청라에일린점,37.5312845,126.6385254
컴포즈구월로데오,37.4452598,126.7008654
아우름 AURUM,37.451132,126.6368934
그린라이트,37.5514403,126.6632482
