품목별(1),품목별(2),2018. 02,2018. 02,2018. 03,2018. 03,2018. 04,2018. 04,2018. 05,2018. 05,2018. 06,2018. 06,2018. 07,2018. 07,2018. 08,2018. 08,2018. 09,2018. 09,2018. 10,2018. 10,2018. 11,2018. 11,2018. 12,2018. 12,2019. 01,2019. 01,2019. 02,2019. 02,2019. 03,2019. 03,2019. 04,2019. 04,2019. 05,2019. 05,2019. 06,2019. 06,2019. 07,2019. 07,2019. 08,2019. 08,2019. 09,2019. 09,2019. 10,2019. 10,2019. 11,2019. 11,2019. 12,2019. 12
품목별(1),품목별(2),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러)
"광물성 연료, 윤활유 및 관련물질",천연가스 및 제조가스,32612,2708458,31775,2384686,33119,1883956,43491,1669692,40038,2260240,39035,1718436,38800,1863262,45973,2164537,63427,2553354,52765,2635309,46605,3032457,48039,2611578,34752,2525975,29293,1826861,35058,1948860,35969,1728507,25745,1755961,24769,1766321,29314,1994127,40791,1563430,55553,1804532,42936,2053092,46848,2583552
"광물성 연료, 윤활유 및 관련물질",전력,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
동식물성 유지 및 왁스,동물성 유지,2,5014,439,5850,895,6121,506,4807,1080,6328,695,3489,971,4000,446,3387,1295,5009,398,4508,710,3259,627,7436,1187,3501,475,6236,901,6055,1485,7045,1146,8392,711,9774,1304,8087,1293,9804,808,9843,1054,7072,1443,6334
동식물성 유지 및 왁스,불휘발성 식물성기름조유정제 또는 분획된 것,2609,73347,3056,100461,2851,103107,2441,99714,3487,87249,2818,86205,3428,88989,2172,77301,3105,85609,2695,74821,2788,60704,3078,77978,2490,63805,2811,72992,4360,99798,3337,86734,1899,80418,2776,90444,2429,106042,2385,90631,2999,86928,3925,76986,3459,82280
동식물성 유지 및 왁스,달리 분류되지 않은 동식물성유지 처리한 것,1446,7093,1522,7846,1467,7579,1991,7945,1335,7601,1307,6764,1649,6269,1212,4218,2286,6379,1460,5421,1092,6290,1587,8352,728,4447,1843,6040,1148,10019,1024,6243,2235,7218,1480,8006,991,5543,1224,6160,2566,9137,2170,7745,1975,7465
화학물 및 관련제품,유기화학물,2104139,1147646,2007285,1189755,1998092,1154834,2095905,1188470,2038484,1112563,2102357,1274708,2195239,1234248,2129355,1189210,2309542,1304533,2063492,1284928,1958725,1038900,2013789,1219198,1756892,957998,1761653,1130850,1918789,1202989,1755900,1115624,1462609,1086401,1817520,1103813,1688852,982111,1583326,985882,1596985,1042021,1535677,961728,1823985,1004776
화학물 및 관련제품,무기화학물,402905,674988,454071,706748,537498,753836,465722,787869,431854,675178,509193,781663,462083,836458,381413,697625,445183,846812,458055,875622,454157,828732,474184,892696,402027,549386,445255,771171,366570,634584,423566,537676,401667,559943,424242,617041,424888,646872,384159,638813,430953,743008,452369,673135,475225,628630
화학물 및 관련제품,염료유연제 및 착색제,176471,203869,219266,232265,207906,248528,207491,244561,209798,233243,222337,255586,218421,226491,193494,212060,228124,242900,217334,228773,189393,250177,211073,232571,180336,179895,215156,219646,213904,240153,216091,218838,176100,209065,199482,243305,193234,233356,193870,220064,231876,211762,215909,203426,210582,205886
화학물 및 관련제품,의약품 및 약제제품,200593,445212,354545,643804,326600,620533,350984,593346,310462,598902,314806,603241,335120,601630,267959,515766,364468,656745,380299,609876,366469,597491,228966,596194,300754,519879,405158,627017,441112,658058,315613,723283,363318,599245,319768,774100,309052,505487,385270,562088,403571,654462,384659,678603,401433,752726
화학물 및 관련제품,정유 및 향료,437537,199610,676276,236984,649400,229537,661587,242979,612989,224039,571934,232120,576133,217899,550111,200045,641605,257589,610799,223342,507300,215084,520869,227274,519419,193813,649910,239776,636070,243341,637193,214757,526312,198089,569926,236372,578849,233182,625788,210511,694315,227525,663642,210931,646359,225008
화학물 및 관련제품,비료,33937,48053,28089,77420,31788,33813,32263,63715,36261,45318,23675,53999,37165,39326,24419,39539,26276,28526,27722,34765,32991,60837,45800,72467,30760,51090,26099,65354,30994,67736,29977,56892,25444,51613,31083,37811,23345,16674,17312,58233,24001,29417,21862,46758,36244,36231
화학물 및 관련제품,플라스틱(원료형태의 것),1894847,406818,2014051,478739,2042575,487531,2154472,510205,2021686,479376,2080766,476616,2064423,467677,1854189,425492,2059165,525449,1840293,489819,1789156,417698,1932851,522485,1683549,367740,1817207,454649,1914885,455925,1805050,453067,1590722,396176,1866465,459808,1743270,432647,1682092,406498,1773099,427689,1650547,396376,1750564,413962
화학물 및 관련제품,원료형태가 아닌 플라스틱,505996,284840,585217,323448,556378,322086,599221,313703,588972,298651,601646,315260,634504,305315,582779,280077,663014,330112,620371,317743,558105,308692,641558,316554,529343,263625,609852,303861,633590,325419,628247,291080,566413,296731,648757,344895,627842,352119,613397,326007,661300,314420,594903,326770,636554,344620
화학물 및 관련제품,달리 명시되지 않은 화학물질 및 제품,398545,732476,470622,829301,473085,758257,482671,791875,465016,714679,474452,792614,496168,760850,439286,677015,475832,815331,463960,788747,459376,752907,465579,855773,397231,690373,456383,754321,457588,837886,433958,698200,441428,678161,457916,741094,422008,708399,404632,707573,416487,725788,456128,705836,446436,761753
재료별 제조제품,가죽제품 및 손질모피,30052,27475,54809,32153,52458,36912,45469,36246,56092,35134,55654,44421,46831,38221,47775,33392,54819,42327,50693,36080,46157,33724,44454,29749,40515,22718,45332,25703,54525,34035,48259,36706,47008,29304,54499,40615,42464,29843,42371,30397,46027,29705,41568,27782,37177,32212
재료별 제조제품,달리 명시되지 않은 고무제품,346656,105887,409958,126794,441599,124087,428036,129087,408473,125181,430793,124459,368301,128996,359416,114911,411110,143294,390168,133519,385074,121304,438586,130094,342510,108387,397419,138669,434979,149765,412058,142426,394795,124874,428264,151352,343594,132528,337302,134875,371243,140002,319545,127056,362097,129257
재료별 제조제품,코크 및 나무제품,4230,116810,5361,127552,5815,132178,6895,143173,5673,147585,6489,137845,5875,142075,4294,135055,5979,144716,5636,133120,4831,117437,6972,125576,4638,104008,5114,119202,5411,123749,5144,118278,5595,105123,5424,109804,4758,104200,4450,96755,5416,102854,5821,105327,4793,114009
재료별 제조제품,종이판지 및 펄프,231446,167489,287895,190783,275817,188713,287261,198601,289296,181130,295130,185528,286576,179012,252111,162636,312692,202865,272888,190811,255861,185204,259336,215167,230821,149628,264354,189559,247212,184955,258441,176570,241396,173480,269312,202437,242466,169292,231550,172352,256779,176592,231001,176812,247460,182259
재료별 제조제품,섬유사직물직물제품,700243,388271,870753,455853,873959,488120,889225,523134,876854,477098,856164,485760,747099,451276,691797,416615,821434,517614,871059,477993,779822,441956,807826,497213,672510,326813,766838,445421,830949,504437,861876,470647,746302,431580,805570,478990,665908,420428,656468,415793,790237,450798,767939,439579,762557,442188
재료별 제조제품,달리 명시되지 않은  비금속광물,232236,377272,277130,408961,271378,455087,272074,494800,269204,463637,275634,471229,275384,455984,240010,411739,302743,508517,291374,472161,265750,430820,286419,491669,223545,311469,247101,420067,275815,477269,274219,445039,265648,419415,282774,476015,272654,423883,268163,405654,290579,420627,274727,417895,274108,451205
재료별 제조제품,철 및 강,2283653,1207453,2381137,1385740,2457912,1289305,2487606,1315241,2293928,1296241,2517480,1137545,2477075,1286093,2266359,1170427,2279565,1372773,2195420,1313929,2078370,1261740,2382403,1464930,2207267,1155712,2223591,1297438,2203976,1456761,2244941,1355878,2174275,1214790,2285746,1233741,2135779,1123785,2025294,1138572,2007059,1239130,2001252,1168624,2227010,997080
재료별 제조제품,비철금속,884186,896239,956614,1073208,1008472,1061319,1068085,1029951,967272,1028745,1095019,1045195,1024959,1009924,866184,915864,1021033,1019819,990099,995107,912582,871928,893149,1068076,862224,767768,906344,994499,947836,1078358,1031366,975149,881714,919330,950085,965643,867698,908085,824102,864262,953929,916102,879542,866158,964886,937618
재료별 제조제품,달리 명시되지 않은 금속제품,828294,586519,923147,611881,1002205,667430,971927,714166,1037772,652324,1511383,653437,1207144,628768,859659,602661,1049532,719907,994771,712693,909654,669021,975076,766509,801416,525100,978036,692210,958073,782743,1007705,737194,888912,644298,959460,774195,872769,707626,840481,653504,969582,682041,865081,727944,900511,732857
기계 및 운수장비,원동기기 및 설비,701395,632865,754316,724345,784038,635220,841999,695080,731783,677280,820706,677227,764986,591278,658886,558574,881470,708010,806346,543147,640833,530641,807011,681178,641347,482476,735095,629823,817235,609961,789056,717850,702462,568743,844158,605567,695512,637441,700703,613187,927470,622812,720235,590797,801058,609059
기계 및 운수장비,특수산업용 기계,1755413,2449268,2547189,2622844,2202237,2455234,2223965,2228095,2210591,1830067,2302762,1402063,2077611,1320252,2138617,1727442,2168287,1514423,2046017,1384707,2032709,1628053,1983771,1490110,1709439,1101287,2072560,1361715,2196099,1802486,2189010,1415632,1732816,1374007,1989939,1087826,1567080,1107235,1563237,1038857,1894047,1119295,2027352,1057083,2303752,1421146
기계 및 운수장비,금속공작용 기계,242892,132052,326356,193595,316553,159071,318734,141967,300520,141673,326329,179788,285000,143470,281539,139269,367400,155611,338676,156896,371827,138129,300393,139467,246875,106154,305200,146474,319179,154174,300344,132770,264577,136861,278729,140669,261436,139563,261047,124012,282305,111646,289862,125409,328577,136657
기계 및 운수장비,산업용 일반기계 및 장비,1546835,1183181,1860250,1303053,1712701,1395111,1824904,1530050,1785966,1442087,1987383,1513468,1639508,1278311,1604546,1174190,1874209,1327024,1850599,1236290,1806748,1218824,1880352,1340981,1624422,1056064,2074672,1339683,1921182,1501531,2018608,1503294,1826305,1437453,1998004,1468574,1600430,1173419,1780649,1200750,1782284,1194792,2145854,1241832,1997379,1319540
기계 및 운수장비,사무용 기계 및 자동자료 처리장치,1377231,1073042,1532327,1205795,1394504,1077582,1610798,1088961,1893200,1019400,1533498,1131642,1737923,1063234,1398034,1027866,1470443,1135496,1895580,1547035,1904196,1445308,1128135,1517422,996503,1079773,1465841,1381107,1191144,1320929,1222686,1366283,1156922,1055222,901835,1140995,1004676,968016,1164105,1024225,1043866,1073772,1048991,968677,1093681,1123111
기계 및 운수장비,통신 및 녹음기기,1683624,1216803,2178106,1438120,1808347,1319836,2174117,1410348,1996269,1316835,2065665,1445046,2074952,1349728,1850575,1244229,2373062,2204375,2818010,2042997,2547583,1719380,2609954,2023664,2189434,1342780,2433842,1868362,2576241,1842476,2367427,1867058,2399104,1655850,2615827,1947280,3009214,1817335,3065599,1776290,3142377,2322409,2627410,2024620,2538036,1572800
기계 및 운수장비, 전기기계장치와 기기,11373752,4710595,13724847,5520665,12352828,5271494,13139427,5139585,13513104,5273648,13356064,5491682,14696684,5388866,15213266,4910841,14574674,5673024,12292313,5383246,10145490,5424063,9518256,5318033,8452917,4308648,10762545,5418402,10413322,5631405,9532602,5820955,10127099,5264845,9788116,5991133,9967289,5423974,10374749,5434574,10103656,5320749,9361698,5259229,9448974,5636072
